,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.3143844603001685e-09,-1.3797719744651778e-09,-1.3494586220354345e-09,-1.3374397990615971e-09,-2.2798543026560797e-09,-1.9298637402943418e-09,-2.7751274654966763e-09,-2.6603352510828858e-09,-2.1483384135888796e-09,-5.290402822541709e-09,-1.7596794451778607e-08,-1.3138739363193599e-09,-1.3798494258998668e-09,-1.3502767738963219e-09,-1.3406146922920842e-09,-2.2783256023182586e-09,-1.948020815420564e-09,-2.7722433740841537e-09,-2.6609093819873058e-09,-2.1426044680188055e-09,-5.291822258913101e-09,-1.757975077810983e-08,-1.3429151910341354e-09,-1.3499970905656124e-09,-1.3489743556482184e-09,-1.350211352224214e-09,-2.2901523232820835e-09,-1.9383646568688836e-09,-2.7909657621315936e-09,-2.659875074764941e-09,-2.1448450023081496e-09,-5.290773159954828e-09,-1.7584494945840987e-08,-1.3432175102317532e-09,-1.3505947386288644e-09,-1.350827149402352e-09,-1.3450734014929765e-09,-2.2764655625181067e-09,-1.9337663283936517e-09,-2.7783214659325405e-09,-2.677691232967117e-09,-2.1449272925103915e-09,-5.291110440101951e-09,-1.75959267137706e-08,-1.3426317959124972e-09,-1.3490902004598678e-09,-1.3786965664409405e-09,-1.3407762424236748e-09,-2.2770921647964384e-09,-1.9288033865780152e-09,-2.7691163899587716e-09,-2.661532109153401e-09,-2.1470924883528307e-09,-5.304130893335117e-09
2,-1.2487338929633064e-09,-1.310841684076017e-09,-1.282052253572234e-09,-1.2706344596677263e-09,-2.165952962201258e-09,-1.8334563864825222e-09,-2.6364650407032e-09,-2.5274142737960975e-09,-2.040961667977883e-09,-5.0259988502129025e-09,-1.6716928797792586e-08,-1.248249036416838e-09,-1.3109152192810225e-09,-1.2828293034721994e-09,-1.2736496995027687e-09,-2.1645009756357367e-09,-1.850700139351916e-09,-2.6337263301696996e-09,-2.5279594940878034e-09,-2.0355167442162293e-09,-5.027346708155509e-09,-1.670072874884866e-08,-1.2758301473403953e-09,-1.2825635993347099e-09,-1.2815925140133082e-09,-1.282763993605576e-09,-2.1757327144327337e-09,-1.8415296726384002e-09,-2.651505779981009e-09,-2.526977282158192e-09,-2.0376444422314172e-09,-5.026350416290451e-09,-1.6705238459516485e-08,-1.2761173792303842e-09,-1.283131293672886e-09,-1.2833521751075252e-09,-1.2778842599107775e-09,-2.16273483732707e-09,-1.8371627113495604e-09,-2.6394981260920567e-09,-2.543896736632909e-09,-2.037723106508955e-09,-5.026670877472045e-09,-1.671610406681765e-08,-1.275560966731648e-09,-1.2817024092479078e-09,-1.3098201304154884e-09,-1.2738031433066289e-09,-2.163329860270677e-09,-1.8324495343861196e-09,-2.630756768887806e-09,-2.5285508754323034e-09,-2.0397797603888182e-09,-5.039032779566799e-09
3,-1.1876656685757654e-09,-1.24668144205819e-09,-1.2192803855293326e-09,-1.2084456723140783e-09,-2.0593541363327503e-09,-1.7433914881583239e-09,-2.5064167013631315e-09,-2.4028031624338396e-09,-1.939898121026339e-09,-4.776741800349121e-09,-1.5881097868586752e-08,-1.1872023692472706e-09,-1.2467514604545706e-09,-1.2200196652810933e-09,-1.2113123609736462e-09,-2.0579699361548412e-09,-1.7598071216430567e-09,-2.503803153099494e-09,-2.4033220024186105e-09,-1.9347180070468694e-09,-4.778023711462525e-09,-1.586575108052491e-08,-1.2134541502825786e-09,-1.2197668973966009e-09,-1.2188429285203442e-09,-1.2199921836093536e-09,-2.068666030576217e-09,-1.7510784407449018e-09,-2.5207368058644863e-09,-2.402387313041734e-09,-1.936741992796354e-09,-4.777074602526173e-09,-1.5870022954381313e-08,-1.2137271507676005e-09,-1.2203091422106975e-09,-1.2205174392606186e-09,-1.2153475704045075e-09,-2.0562889142910954e-09,-1.746916655452914e-09,-2.5093053410272928e-09,-2.4184980928320255e-09,-1.936819558620768e-09,-4.7773819529502585e-09,-1.5880314652164397e-08,-1.213197937749911e-09,-1.2189475101759873e-09,-1.2457097353454455e-09,-1.2114583368751006e-09,-2.0568556917422214e-09,-1.7424317087988433e-09,-2.5009787799916315e-09,-2.403884691065193e-09,-1.938773818987081e-09,-4.7891680144905645e-09
4,-2.1888358552612554e-09,-2.2439093300848303e-09,-2.1907425705193936e-09,-2.1888462232262017e-09,-3.252605193504202e-09,-2.889588791878478e-09,-3.7105655203380785e-09,-3.618948379237925e-09,-2.583693073078532e-09,-6.085941319572326e-09,-1.5093798749677787e-08,-2.186730097104256e-09,-2.2440265826219026e-09,-2.191538916803972e-09,-2.192230157525432e-09,-3.247496323822636e-09,-2.923414246136758e-09,-3.7003945781533346e-09,-3.6197368806008432e-09,-2.575893109603724e-09,-6.0874149210021175e-09,-1.509504040973971e-08,-2.2384724902434324e-09,-2.191278659270701e-09,-2.190205422137526e-09,-2.2130248452315447e-09,-3.2725111865391988e-09,-2.9065448010502394e-09,-3.740054905351463e-09,-3.6183105961065418e-09,-2.5781450149262817e-09,-6.084849213604632e-09,-1.5095015337626954e-08,-2.238792099150289e-09,-2.193482266147939e-09,-2.1930452668336074e-09,-2.204110085170228e-09,-3.2453770997785908e-09,-2.8941909854254683e-09,-3.7169746411226423e-09,-3.6538392854368323e-09,-2.5799942480309313e-09,-6.088067719852978e-09,-1.5092107169429587e-08,-2.2380127552549108e-09,-2.190611245211029e-09,-2.24236793386303e-09,-2.1924281847911184e-09,-3.2467364127836917e-09,-2.887212305908511e-09,-3.6967896872414698e-09,-3.6205621803814746e-09,-2.5821299075982077e-09,-6.119840770220375e-09
5,-2.9433289569053704e-09,-2.995239303908557e-09,-2.922237020217271e-09,-2.9272931532322185e-09,-4.145668291210474e-09,-3.749633952574459e-09,-4.607873921504292e-09,-4.5263065758027225e-09,-3.05833022667525e-09,-7.042201325331377e-09,-1.4345586260072593e-08,-2.9399715263414965e-09,-2.995392185061417e-09,-2.9230925574535178e-09,-2.931094930127692e-09,-4.1377277292045425e-09,-3.796875682047177e-09,-4.5919154114821745e-09,-4.527308370762868e-09,-3.04846979948284e-09,-7.043846386177565e-09,-1.4360033700099937e-08,-3.0113267602246947e-09,-2.922821410837554e-09,-2.9216150607696725e-09,-2.9611814219705366e-09,-4.173747301116845e-09,-3.773724454826891e-09,-4.6490969755060524e-09,-4.525493373725871e-09,-3.0509428229226214e-09,-7.040044116638102e-09,-1.4356558981403325e-08,-3.0116829866773945e-09,-2.9262921258532617e-09,-2.9253573888273615e-09,-2.948974862491945e-09,-4.135232009595245e-09,-3.7550982003476676e-09,-4.617005693484477e-09,-4.575987317044638e-09,-3.054128959806393e-09,-7.045461955478825e-09,-1.4343239200144522e-08,-3.0107103787991565e-09,-2.922245808376671e-09,-2.9932580226006533e-09,-2.9313342424993795e-09,-4.1372020076670535e-09,-3.7461612228773915e-09,-4.587675421687987e-09,-4.52834223769231e-09,-3.0564152827940798e-09,-7.092759963526391e-09
6,-3.494699843770798e-09,-3.5440616019939304e-09,-3.456153106523134e-09,-3.466517139482131e-09,-4.791771037840037e-09,-4.374193277142615e-09,-5.25286607881778e-09,-5.179719807821293e-09,-3.393973087313695e-09,-7.708869368722871e-09,-1.3634442198378311e-08,-3.490413030007553e-09,-3.544241411665568e-09,-3.4570660129777304e-09,-3.470648700778401e-09,-4.781732054334013e-09,-4.431531409146564e-09,-5.232580152878184e-09,-5.180886753404893e-09,-3.3825308608494078e-09,-7.71066414939584e-09,-1.3659255792773633e-08,-3.5764984074750258e-09,-3.4567822510429217e-09,-3.455459871790218e-09,-3.507690583451081e-09,-4.8260091014795516e-09,-4.403645909618167e-09,-5.30296144622055e-09,-5.178770925725507e-09,-3.3852050033265807e-09,-7.705938880363728e-09,-1.3653046019295604e-08,-3.576882798500457e-09,-3.4611953238579053e-09,-3.45988479349921e-09,-3.4930061554899974e-09,-4.7789197687171205e-09,-4.380332473124015e-09,-5.264056201042762e-09,-5.240531204208542e-09,-3.389375850614305e-09,-7.712974872100046e-09,-1.3631642144228883e-08,-3.5757642549917883e-09,-3.456254032554166e-09,-3.541748852994469e-09,-3.4709202609734296e-09,-4.781349361577555e-09,-4.369891471258426e-09,-5.227833840914967e-09,-5.182082786953564e-09,-3.391785794562404e-09,-7.772078398615452e-09
7,-3.263434646357908e-09,-3.312470346759985e-09,-3.228445117728842e-09,-3.237928211782485e-09,-4.479016516043013e-09,-4.086705461589424e-09,-4.9105869083775015e-09,-4.844275433029872e-09,-3.184112935026746e-09,-7.230268103629985e-09,-1.2956830138443342e-08,-3.259431398373067e-09,-3.312643147330804e-09,-3.229376579327558e-09,-3.2419501722403952e-09,-4.469593990169224e-09,-4.1414916257819335e-09,-4.89137009232296e-09,-4.845405175304265e-09,-3.1730703448199086e-09,-7.232055172271041e-09,-1.2981218121632863e-08,-3.3416613260790987e-09,-3.2290844874497713e-09,-3.2277516656944033e-09,-3.2771910222718134e-09,-4.5117255281103644e-09,-4.1147907884601094e-09,-4.958624483812493e-09,-4.843357197725543e-09,-3.1757909112186074e-09,-7.227624551445145e-09,-1.2975001658795785e-08,-3.3420384972156667e-09,-3.2332130385885595e-09,-3.231975780668595e-09,-3.263143483289208e-09,-4.4667699922297605e-09,-4.09267688826297e-09,-4.9212966812027715e-09,-4.902351152970463e-09,-3.1796392111317026e-09,-7.234157018001396e-09,-1.2954309266720869e-08,-3.3409573436766654e-09,-3.228477071365354e-09,-3.3102426979305355e-09,-3.2422137824681965e-09,-4.469084262316716e-09,-4.082610711278742e-09,-4.886730774633597e-09,-4.846565351362153e-09,-3.181993417712367e-09,-7.290869809564341e-09
8,-3.0449115337432164e-09,-3.093599833962018e-09,-3.013267509215131e-09,-3.0219214819664447e-09,-4.183421434857863e-09,-3.815022889279478e-09,-4.58707742026012e-09,-4.527192502210251e-09,-2.985587405678391e-09,-6.777529664380983e-09,-1.2313027295993716e-08,-3.0411761326743688e-09,-3.0937660581860707e-09,-3.0142154325671795e-09,-3.025837860154866e-09,-4.1745817197638975e-09,-3.8673825977883485e-09,-4.568873867817839e-09,-4.528286581991699e-09,-2.9749267456555713e-09,-6.7793081009392665e-09,-1.2337000663568837e-08,-3.1197407121619787e-09,-3.013915819348927e-09,-3.0125744100495453e-09,-3.0593691193648868e-09,-4.21467668214615e-09,-3.84180924659018e-09,-4.633155398369522e-09,-4.526303631635866e-09,-2.9776880235465155e-09,-6.775155919034825e-09,-1.2330782233543899e-08,-3.1201108247674557e-09,-3.0177755549508585e-09,-3.0166077222429827e-09,-3.045927503126427e-09,-4.171749302564198e-09,-3.820832757984539e-09,-4.597330165984261e-09,-4.582667730790402e-09,-2.9812323215322024e-09,-6.781213383365144e-09,-1.231076891759415e-08,-3.1190654852951104e-09,-3.0132351260624514e-09,-3.091453479615776e-09,-3.0260937806097563e-09,-4.173954054676139e-09,-3.811124752391138e-09,-4.564338230197907e-09,-4.52941232416327e-09,-2.9835321734900474e-09,-6.8356492039448225e-09
9,-2.833000028572918e-09,-2.881506299272112e-09,-2.80465861422133e-09,-2.812496240150666e-09,-3.8970316808084315e-09,-3.5516832889465134e-09,-4.27367535825539e-09,-4.2201399088647886e-09,-2.793910066902046e-09,-6.340341052387189e-09,-1.1701689709414258e-08,-2.8295249969028574e-09,-2.881666361754654e-09,-2.805626455072816e-09,-2.816318029850612e-09,-3.888755148938482e-09,-3.6017516374512197e-09,-4.256440593996485e-09,-4.221201303053748e-09,-2.7836023870340267e-09,-6.34211633527015e-09,-1.1725316341857987e-08,-2.9046268201033906e-09,-2.8053182580383905e-09,-2.8039634987297874e-09,-2.8482241608355705e-09,-3.9269134306108135e-09,-3.57723872497327e-09,-4.317915720241217e-09,-4.219277986471902e-09,-2.7864144410753224e-09,-6.3382341481321406e-09,-1.1719076499396079e-08,-2.9049910494920005e-09,-2.808917090245257e-09,-2.807815928387425e-09,-2.835353448269593e-09,-3.885904602871762e-09,-3.557347877382345e-09,-4.283497710370355e-09,-4.2731574863609524e-09,-2.789661197006839e-09,-6.343828676227279e-09,-1.1699690873071211e-08,-2.903978509546018e-09,-2.804560489546707e-09,-2.8794352524305617e-09,-2.8165669962619458e-09,-3.888005353191905e-09,-3.5479722901402085e-09,-4.251995683749448e-09,-4.222295705081202e-09,-2.7919134324574704e-09,-6.396130806170754e-09
