,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.00997949619479e-09,6.299922989370954e-09,6.1356369519140955e-09,6.089788656527153e-09,1.0407568150521905e-08,8.81523502558685e-09,1.2369853675077977e-08,1.2123625737914986e-08,9.469847073339607e-09,2.3809744206615814e-08,7.989816959640296e-08,6.0068621464542915e-09,6.300332570908524e-09,6.1403607485338884e-09,6.106417204772797e-09,1.0399335218266375e-08,8.91566233028924e-09,1.2352212102679577e-08,1.2126890597923287e-08,9.438155419230669e-09,2.3818015596394042e-08,7.985507796684216e-08,6.164326564244734e-09,6.138750848045849e-09,6.132817495947599e-09,6.159269039890493e-09,1.0465582799889568e-08,8.86256182299645e-09,1.2460236438124504e-08,1.212100659917474e-08,9.451204191946343e-09,2.381196051459913e-08,7.986594845867739e-08,6.165855167640881e-09,6.142363973518859e-09,6.142917453041337e-09,6.131262690936496e-09,1.0388136086736771e-08,8.836497612254258e-09,1.2388452039611069e-08,1.2221524889113402e-08,9.45187590266528e-09,2.3813633362769732e-08,7.989556492811517e-08,6.162808189302704e-09,6.133281418798469e-09,6.294272266176636e-09,6.107298171032877e-09,1.0391739729619863e-08,8.80875021824937e-09,1.2334814714904104e-08,1.2130406843659196e-08,9.463027953544282e-09,2.3899087506167198e-08
2,3.753940049662639e-09,3.7027016487375273e-09,3.927686765951073e-09,3.850987018249281e-09,7.626616712099347e-09,6.218233039578145e-09,9.206682184757848e-09,9.196821161706193e-09,7.3796563138369054e-09,1.9363238730686086e-08,7.189727662219658e-08,3.759081053442071e-09,3.7021944899058238e-09,3.9171344987302516e-09,3.8312275146005644e-09,7.632822274038171e-09,6.064563822329575e-09,9.24204235580965e-09,9.190631619037507e-09,7.431710949151003e-09,1.9346118083789622e-08,7.16120607220047e-08,3.544625600359767e-09,3.920703192779787e-09,3.934102043927606e-09,3.7562056719066e-09,7.528912591657375e-09,6.144675102444777e-09,9.045280986433855e-09,9.20180229459231e-09,7.401538086615748e-09,1.9354757951765112e-08,7.170176216691392e-08,3.5429403564483546e-09,3.914553426365526e-09,3.9196214071552585e-09,3.796136640998654e-09,7.661573476830665e-09,6.185447291781228e-09,9.171034963411015e-09,9.03220156123105e-09,7.401965519270044e-09,1.9359211283349934e-08,7.188206273100994e-08,3.546581329607347e-09,3.9357173396800266e-09,3.709613595561366e-09,3.829870859426561e-09,7.655022441677428e-09,6.233440830101715e-09,9.271540279132914e-09,9.184170132506704e-09,7.3903486751382155e-09,1.9124203837828295e-08
3,1.614551306096896e-09,1.239758713347656e-09,1.833674465161412e-09,1.7277937246498098e-09,4.9897413867777005e-09,3.7556846914242284e-09,6.211588152485982e-09,6.422039250833879e-09,5.397389125426683e-09,1.5161946893607136e-08,6.43661166731845e-08,1.6275273071546042e-09,1.2383830789850511e-09,1.8086849847009217e-09,1.673597773750895e-09,5.009732883318194e-09,3.361168998010213e-09,6.297334331725087e-09,6.406905053775858e-09,5.528671980699014e-09,1.5120787571279077e-08,6.385028775061822e-08,1.0605497327699971e-09,1.8171477985371615e-09,1.8488177879197786e-09,1.4772622017688163e-09,4.744463841863872e-09,3.5675151249642954e-09,5.8115319362326225e-09,6.434211033001075e-09,5.457652974617866e-09,1.5143379939989715e-08,6.40150362353563e-08,1.0558240038467197e-09,1.8017406472257355e-09,1.8110714094160704e-09,1.5815708633133187e-09,5.076244174276456e-09,3.671759977878417e-09,6.124521788136843e-09,6.008540840311766e-09,5.457816586418417e-09,1.515034626938857e-08,6.433898386048414e-08,1.0657979506079345e-09,1.8515102257941883e-09,1.2585704592591348e-09,1.6701236740497516e-09,5.060069298415254e-09,3.791415454919631e-09,6.371216348325001e-09,6.3910022825317395e-09,5.42465057478513e-09,1.4611472923351852e-08
4,1.6594002350190491e-09,1.3011368840177065e-09,1.8643825237536743e-09,1.7647399294427083e-09,4.889544937114006e-09,3.7111261703230983e-09,6.043810214847625e-09,6.25348819494483e-09,5.208860870740729e-09,1.4573811805338594e-08,6.11437410993598e-08,1.6714960712248944e-09,1.2998302334040276e-09,1.8405095596596896e-09,1.713027034742804e-09,4.908024648620242e-09,3.3370156320023093e-09,6.124514961336791e-09,6.239074169532916e-09,5.333859340332868e-09,1.4534509422715673e-08,6.065324191871157e-08,1.1339478488110273e-09,1.8485963851217921e-09,1.8788379348257988e-09,1.5274000826968287e-09,4.65692857707768e-09,3.532836430503032e-09,5.664057484163061e-09,6.2650801011808575e-09,5.266023677958722e-09,1.4555801529056586e-08,6.08100514947609e-08,1.1294413658600544e-09,1.8341806538292823e-09,1.8429744108406505e-09,1.6263661472425995e-09,4.971512698909152e-09,3.6311115067717637e-09,5.961196735444755e-09,5.861551464588033e-09,5.266510345345001e-09,1.456295114630659e-08,6.11176289254074e-08,1.1389289617772284e-09,1.881466278633103e-09,1.3190160440354575e-09,1.7097159932180751e-09,4.95618823284687e-09,3.7450154214428266e-09,6.194990764566197e-09,6.2239229594775355e-09,5.234836497565023e-09,1.4051382495089868e-08
5,1.719028709971155e-09,1.3763171972418649e-09,1.91014656531347e-09,1.8165647395736796e-09,4.814544727244231e-09,3.688162579277189e-09,5.903786197722122e-09,6.113983276804238e-09,5.040917646017781e-09,1.403801865210433e-08,5.808226832247139e-08,1.7302537958380832e-09,1.3750764162889658e-09,1.8873211735149105e-09,1.7671934488549176e-09,4.8315110469079595e-09,3.333626205552108e-09,5.979576115465593e-09,6.100251775256604e-09,5.159954677838231e-09,1.4000462990734323e-08,5.761591602810942e-08,1.2209518302804106e-09,1.895055546264129e-09,1.92395486970514e-09,1.591911137932223e-09,4.594069320494284e-09,3.5193695170424897e-09,5.543460102919181e-09,6.1250255210721235e-09,5.095107150239361e-09,1.4020489893625521e-08,5.7765177548364784e-08,1.2166523439811483e-09,1.881615325449711e-09,1.8898883384376023e-09,1.6857589426621964e-09,4.8921551313344435e-09,3.611842998562704e-09,5.825437555196163e-09,5.742751494549752e-09,5.095946176747196e-09,1.4027887452359144e-08,5.8057085098054366e-08,1.22567724289073e-09,1.926531838098095e-09,1.3933069349691086e-09,1.7640366637109302e-09,4.877648052572814e-09,3.7202875925415894e-09,6.046837580420383e-09,6.085812209840837e-09,5.065675946182174e-09,1.3542437011663602e-08
6,1.7726082158517617e-09,1.4447109878269239e-09,1.9506328796461804e-09,1.8627847887492993e-09,4.739652523731192e-09,3.662852931735443e-09,5.767274945617038e-09,5.9777328568379595e-09,4.879372376706023e-09,1.352487339239866e-08,5.5173937720559286e-08,1.783012413879223e-09,1.4435327422698447e-09,1.928805580170953e-09,1.815642353454471e-09,4.755194619077782e-09,3.326886232555848e-09,5.838416288565571e-09,5.964650318577176e-09,4.992742145474077e-09,1.3488981146077548e-08,5.473052233773481e-08,1.300504265908906e-09,1.936204097203373e-09,1.9638249722756106e-09,1.6501609539017548e-09,4.5306956921268676e-09,3.5030658371549827e-09,5.425387481594138e-09,5.988252484019171e-09,4.930741468930631e-09,1.3507811288414664e-08,5.4872610340322e-08,1.2964017400022697e-09,1.9236844750549177e-09,1.931464722276178e-09,1.7391519661750598e-09,4.813130506098773e-09,3.590048828764224e-09,5.692973439799659e-09,5.626139504416387e-09,4.931906649095469e-09,1.3515430942258276e-08,5.514964506354408e-08,1.3049869885205597e-09,1.9663512989565265e-09,1.4608559589792584e-09,1.812632286735598e-09,4.799398566948597e-09,3.6933040769585847e-09,5.902618726111304e-09,5.950887524887935e-09,4.90297302753903e-09,1.3054771592885631e-08
7,2.1523792389921473e-09,1.915250790077298e-09,2.3115324883985733e-09,2.234613858724339e-09,5.040644471570106e-09,3.995698342771051e-09,6.0169780748764095e-09,6.223174224677683e-09,5.02470995596294e-09,1.33353222855054e-08,5.2215637476124925e-08,2.1602166676926054e-09,1.9143228773909206e-09,2.2932809590502683e-09,2.1978321201922955e-09,5.050172965581947e-09,3.732288077145658e-09,6.071058664968431e-09,6.212623910240929e-09,5.1158994781684615e-09,1.3307081922306956e-08,5.1872360851546764e-08,1.7831847831682037e-09,2.299469413399288e-09,2.322550984202744e-09,2.0696473573998752e-09,4.875879589546868e-09,3.871045966752656e-09,5.747703171464363e-09,6.231654585137082e-09,5.0639437801598755e-09,1.3320321070785578e-08,5.1982631065164344e-08,1.7798633552045093e-09,2.289875671400735e-09,2.2970535034150387e-09,2.1396524480960806e-09,5.098601094777156e-09,3.937668920066788e-09,5.958420651038903e-09,5.94717945095862e-09,5.065870448851517e-09,1.3329468992554306e-08,5.219437240075572e-08,1.786696172034307e-09,2.3251571544887293e-09,1.928023061639971e-09,2.1954228261435167e-09,5.0877671027894325e-09,4.0205777734386154e-09,6.121852941115201e-09,6.201572958891018e-09,5.043627477280847e-09,1.2965482099133896e-08
8,2.4426099257535806e-09,2.280536704226172e-09,2.58533670790039e-09,2.517818122072917e-09,5.245513850119568e-09,4.234154143804367e-09,6.173129431156411e-09,6.3742997212954275e-09,5.104168202832402e-09,1.3081908892835024e-08,4.943588829564615e-08,2.4483169141226224e-09,2.2798177913681604e-09,2.570109484806084e-09,2.4896767172410155e-09,5.250118387999692e-09,4.031292287182157e-09,6.2130336408569724e-09,6.365872992762015e-09,5.176766556523375e-09,1.3060057974169966e-08,4.917602163687436e-08,2.1592601594145577e-09,2.575274437915992e-09,2.5945173630096355e-09,2.392560094918766e-09,5.11766026468497e-09,4.138799386471495e-09,5.9644933369814475e-09,6.381070005105125e-09,5.133311441260638e-09,1.3068685310062447e-08,4.9259780108780406e-08,2.1565942657361595e-09,2.5681143441012877e-09,2.574751638559496e-09,2.4467132772130133e-09,5.290505628930967e-09,4.188488353920894e-09,6.1277211720520585e-09,6.161403475954597e-09,5.135837885595481e-09,1.3078995801732772e-08,4.941722850489779e-08,2.1619611194421683e-09,2.597168049050918e-09,2.2904902279687157e-09,2.4877705808489264e-09,5.28209235894817e-09,4.2543484343621445e-09,6.252621987362385e-09,6.357094374909522e-09,5.119162864904762e-09,1.279578166931753e-08
9,2.733247419937376e-09,2.6448721336290684e-09,2.8600504071372667e-09,2.8016717754578296e-09,5.457224560177778e-09,4.4770887705691904e-09,6.3385942046593754e-09,6.535140975726993e-09,5.19207812278983e-09,1.285668171768618e-08,4.678966988208085e-08,2.7368653702201303e-09,2.644357880988938e-09,2.8477773786042156e-09,2.7819969037665983e-09,5.456985792314435e-09,4.333541904488878e-09,6.3645990596596e-09,6.528792420819146e-09,5.246480988926708e-09,1.2841089799559395e-08,4.661154175885325e-08,2.534001780335922e-09,2.8519425724952057e-09,2.8674356758195458e-09,2.7153265623727642e-09,5.3655230080727005e-09,4.4104393119062985e-09,6.189352908929585e-09,6.540237750253602e-09,5.211328300312828e-09,1.2845187802636556e-08,4.6669321240231255e-08,2.5319773435701747e-09,2.8471677834805203e-09,2.853283978404999e-09,2.753952353082719e-09,5.4895185172892645e-09,4.443528236196771e-09,6.306064889749869e-09,6.384054902349943e-09,5.2144488928481406e-09,1.2856660680490085e-08,4.6773545659958994e-08,2.5359087512638813e-09,2.8701347406325536e-09,2.652065144863621e-09,2.7805832030302257e-09,5.483476090690682e-09,4.4927012470047045e-09,6.393212506202729e-09,6.522237940035309e-09,5.2032326974269985e-09,1.2652551536627192e-08
