,0
0,0.03941851548824042
1,0.0394361887488526
2,0.03942430347243716
3,0.04045888793047549
4,0.040457183419731126
5,0.04046086957133626
6,0.03387740017806639
7,0.033879514685742
8,0.03387084049911195
9,0.02893214451249916
10,0.02892792115009175
11,0.028927854174252816
12,0.029115556662875096
13,0.029116489958010666
14,0.02911535879633217
15,0.028603565664995348
16,0.0286035396989098
17,0.02860352385409903
18,0.03075865193653795
19,0.030758652696243616
20,0.030759398484203653
21,0.025467674250224927
22,0.025463742311042425
23,0.025464167272420395
24,0.02385733329382958
25,0.023864997960628742
26,0.02386831720938492
27,0.02480181088722321
28,0.024812611536583914
29,0.02481127534362933
30,0.025172263307834997
31,0.025167783425763205
32,0.02517056866241901
33,0.02480554994220362
34,0.02480573568225922
35,0.024807184132623766
36,0.025519306626514734
37,0.025518934786600885
38,0.025522931446907204
39,0.028141527261492452
40,0.02813969809826188
41,0.028139502655067872
42,0.02591233953225914
43,0.025921676518906575
44,0.025913505957631568
45,0.027023641071307242
46,0.027020152597701227
47,0.027020192616089993
48,0.024758501580112592
49,0.024764968827848465
50,0.02475668679199838
51,0.024428589120492884
52,0.024421798829376274
53,0.024429646911413243
54,0.030675865632164546
55,0.030675197479655414
56,0.03067519598027993
57,0.027646559463606637
58,0.02764655711675941
59,0.027646576095683537
60,0.02552484286040805
61,0.025524870459447416
62,0.02552629897647938
63,0.02450316409631186
64,0.0057095257464827714
65,0.005708113114753984
66,0.010076563538630876
67,0.016855185698965706
68,0.016843786589229283
69,0.011705464473635581
70,0.029048208500228257
71,0.029047638742537196
72,0.009068543333408586
73,0.025304775900620503
74,0.02531022766334893
75,0.012396061071541072
76,0.05277707337309114
77,0.05277210517338799
78,0.058618305123934976
79,0.10969516347773506
80,0.10969528151558046
81,0.1264924054992915
82,0.17864014357782504
83,0.17864013555162278
84,0.18293560637690923
85,0.23512127136642016
86,0.23512145151431646
87,0.23407045064487503
88,0.2834448854198326
89,0.2834372590090503
90,0.27586866170919805
91,0.3252096740564869
92,0.3252170598153362
93,0.3256164392765563
94,0.3748711241733627
95,0.37487191946905635
96,0.3688630132151118
97,0.41803634782299964
98,0.41803625815857476
99,0.42068260040858135
100,0.5546119867793728
101,0.5546196861327255
102,0.5395188258623046
103,0.6729931307878119
104,0.6729933458167169
105,0.692005491636736
106,0.824869310815532
107,0.8248690469519756
108,0.8183579707133016
109,0.950723571916422
110,0.9507202898679642
111,0.9338590046457915
112,0.9954189094401606
113,0.995418054915336
114,0.9896339566812005
115,0.9896339566812005
116,0.9896339566812005
117,0.9908519358886596
118,0.9908519358886596
119,0.9908519358886596
120,0.9939840473909463
121,0.9939840473909463
122,0.9939840473909463
123,0.9866691591570096
124,0.9866691591570096
125,0.9866691591570096
126,1.0006865804227876
127,1.0006865804227876
128,1.0006865804227876
129,1.006677179829698
130,1.006677179829698
131,1.0134975187093775
132,1.0085473409811727
133,1.0139943770816289
134,1.0144615372625077
135,1.0012603909563769
136,1.0136924426876397
137,1.014313875748842
138,1.0134049660985436
139,1.0143305875592212
140,1.014409595103623
141,1.022323176843865
142,1.015134076228607
143,1.0148054886774112
144,1.0267286242439266
145,1.0155355367275087
146,1.0149817301498016
147,1.0049850388112582
148,1.0144060626349498
149,1.014861244043048
150,1.0223982166905057
151,1.0153378141093687
152,1.0149683836213195
153,1.0099269180776782
154,1.0146204309116107
155,1.0147445436931277
156,1.0070270323978447
157,1.0133914458896962
158,1.0136096489529876
159,1.0392395192583788
160,1.0470265866113386
161,1.0142213337416586
162,1.0051058241899251
163,1.012576485014964
164,1.012727334992476
165,1.0062952373279141
